#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,4,18,54,999,99,99,2.6,11.76,8.78,281,9999,999,12.1,999,99,99
2013,1,4,19,24,999,99,99,2.73,10.53,9.09,272,9999,999,12,999,99,99
2013,1,4,19,54,999,99,99,2.75,11.76,9.14,288,9999,999,12.1,999,99,99
2013,1,4,20,24,999,99,99,2.66,9.88,9.18,282,9999,999,12.1,999,99,99
2013,1,4,20,54,999,99,99,2.37,11.11,8.7,284,9999,999,12.2,999,99,99
2013,1,4,21,24,999,99,99,2.29,10.53,8.94,281,9999,999,12.3,999,99,99
2013,1,4,21,54,999,99,99,2.51,13.33,9.36,286,9999,999,12.3,999,99,99
2013,1,4,22,24,999,99,99,2.44,10.53,8.98,282,9999,999,12.4,999,99,99
2013,1,4,22,54,999,99,99,2.38,13.33,9.27,282,9999,999,12.4,999,99,99
2013,1,4,23,24,999,99,99,2.34,11.76,9.25,285,9999,999,12.5,999,99,99
2013,1,4,23,54,999,99,99,2.26,13.33,9.26,275,9999,999,12.4,999,99,99
2013,1,5,0,24,999,99,99,2.26,10.53,8.95,274,9999,999,12.4,999,99,99
2013,1,5,0,54,999,99,99,2.29,14.29,9.01,271,9999,999,12.4,999,99,99
2013,1,5,1,24,999,99,99,2.23,11.11,8.89,281,9999,999,12.4,999,99,99
2013,1,5,1,54,999,99,99,2.23,13.33,8.85,270,9999,999,12.4,999,99,99
2013,1,5,2,24,999,99,99,2.14,12.5,9.03,275,9999,999,12.4,999,99,99
2013,1,5,2,54,999,99,99,2.42,13.33,9.55,281,9999,999,12.4,999,99,99
2013,1,5,3,24,999,99,99,2.22,12.5,9.33,265,9999,999,12.4,999,99,99
2013,1,5,3,54,999,99,99,2.05,13.33,8.9,264,9999,999,12.4,999,99,99
2013,1,5,4,24,999,99,99,2.15,11.76,9.07,271,9999,999,12.4,999,99,99
2013,1,5,4,54,999,99,99,2.13,13.33,8.9,286,9999,999,12.4,999,99,99
2013,1,5,5,24,999,99,99,2.16,13.33,9.58,281,9999,999,12.4,999,99,99
2013,1,5,5,54,999,99,99,2.32,13.33,9.72,275,9999,999,12.4,999,99,99
2013,1,5,6,24,999,99,99,2.13,12.5,9.61,272,9999,999,12.4,999,99,99
2013,1,5,6,54,999,99,99,1.84,13.33,8.99,281,9999,999,12.4,999,99,99
2013,1,5,7,24,999,99,99,1.92,11.76,9.46,268,9999,999,12.4,999,99,99
2013,1,5,7,54,999,99,99,1.83,13.33,8.57,270,9999,999,12.4,999,99,99
2013,1,5,8,24,999,99,99,1.97,12.5,9.2,268,9999,999,12.4,999,99,99
2013,1,5,8,54,999,99,99,1.9,13.33,8.51,282,9999,999,12.4,999,99,99
2013,1,5,9,24,999,99,99,1.66,13.33,8.06,282,9999,999,12.4,999,99,99
2013,1,5,9,54,999,99,99,1.86,11.76,8.32,285,9999,999,12.5,999,99,99
2013,1,5,10,24,999,99,99,1.96,13.33,8.46,292,9999,999,12.5,999,99,99
2013,1,5,10,54,999,99,99,1.78,13.33,8.25,275,9999,999,12.5,999,99,99
2013,1,5,11,24,999,99,99,1.79,13.33,7.7,291,9999,999,12.5,999,99,99
2013,1,5,11,54,999,99,99,1.7,12.5,7.7,282,9999,999,12.5,999,99,99
2013,1,5,12,24,999,99,99,1.81,13.33,7.37,284,9999,999,12.5,999,99,99
2013,1,5,12,54,999,99,99,1.8,12.5,7.11,286,9999,999,12.5,999,99,99
2013,1,5,13,24,999,99,99,1.89,12.5,7.35,284,9999,999,12.5,999,99,99
2013,1,5,13,54,999,99,99,2.01,13.33,7.39,279,9999,999,12.5,999,99,99
2013,1,5,14,24,999,99,99,2.01,12.5,7.26,281,9999,999,12.5,999,99,99
2013,1,5,14,54,999,99,99,1.95,12.5,6.37,285,9999,999,12.5,999,99,99
2013,1,5,15,24,999,99,99,2.01,12.5,6.31,291,9999,999,12.5,999,99,99
2013,1,5,15,54,999,99,99,2.11,11.76,6.22,284,9999,999,12.5,999,99,99
2013,1,5,16,24,999,99,99,2.23,11.76,6.77,295,9999,999,12.4,999,99,99
2013,1,5,16,54,999,99,99,2.28,12.5,6.56,271,9999,999,12.5,999,99,99
2013,1,5,17,24,999,99,99,2.38,12.5,6.96,271,9999,999,12.5,999,99,99
2013,1,5,17,54,999,99,99,2.35,13.33,6.55,270,9999,999,12.5,999,99,99
2013,1,5,18,24,999,99,99,2.5,13.33,6.36,277,9999,999,12.5,999,99,99
2013,1,5,18,54,999,99,99,2.27,11.76,6.51,270,9999,999,12.5,999,99,99
2013,1,5,19,24,999,99,99,2.32,11.11,6.8,284,9999,999,12.5,999,99,99
2013,1,5,19,54,999,99,99,2.76,11.11,7.78,281,9999,999,12.3,999,99,99
2013,1,5,20,24,999,99,99,2.33,11.76,6.94,288,9999,999,11.8,999,99,99
2013,1,5,20,54,999,99,99,2.42,13.33,7.49,275,9999,999,11.7,999,99,99
2013,1,5,21,24,999,99,99,2.6,13.33,7.99,281,9999,999,11.5,999,99,99
2013,1,5,21,54,999,99,99,2.41,12.5,7.82,281,9999,999,11.3,999,99,99
2013,1,5,22,24,999,99,99,2.6,12.5,8.39,275,9999,999,11.3,999,99,99
2013,1,5,22,54,999,99,99,2.54,12.5,8.2,279,9999,999,11.4,999,99,99
2013,1,5,23,24,999,99,99,2.27,12.5,8.4,267,9999,999,11.4,999,99,99
2013,1,5,23,54,999,99,99,2.38,10.53,8.77,289,9999,999,11.5,999,99,99
2013,1,6,0,24,999,99,99,2.28,11.76,8.93,288,9999,999,11.5,999,99,99
2013,1,6,0,54,999,99,99,2.44,11.76,9.12,281,9999,999,11.5,999,99,99
2013,1,6,1,24,999,99,99,2.37,13.33,9.21,281,9999,999,11.4,999,99,99
2013,1,6,1,54,999,99,99,2.33,12.5,9.09,264,9999,999,11.3,999,99,99
2013,1,6,2,24,999,99,99,2.37,13.33,9.15,272,9999,999,11.3,999,99,99
2013,1,6,2,54,999,99,99,2.37,11.11,9.14,271,9999,999,11.3,999,99,99
2013,1,6,3,24,999,99,99,2.42,13.33,9.24,288,9999,999,11.3,999,99,99
2013,1,6,3,54,999,99,99,2.29,13.33,9.23,286,9999,999,11.3,999,99,99
2013,1,6,4,24,999,99,99,2.62,13.33,9.66,293,9999,999,11.3,999,99,99
