#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,10,1,50,311 1,2,14.2,2.89,13.79,7.02,315,1017.5,10.5,11.9,999,99,99
2013,1,10,2,50,307 1,1.1,14.5,3.03,12.9,6.91,293,1017.7,10.7,11.9,999,99,99
2013,1,10,3,50,301 1,0.8,13.1,3.13,13.79,7.03,296,1018,10.7,11.9,999,99,99
2013,1,10,4,50,323 1,2.4,15.8,3.36,13.79,7.36,316,1018.6,9,11.9,999,99,99
2013,1,10,5,50,321 1,0.6,13.7,3.63,13.79,7.6,306,1019.1,9.4,11.8,999,99,99
2013,1,10,6,50,306,8.2,10.7,3.58,12.12,7.42,296,1019.3,9.9,11.8,999,99,99
2013,1,10,7,50,307 1,0.5,13.2,3.76,12.9,7.86,306,1019.4,10.2,11.8,999,99,99
2013,1,10,8,50,304 1,0,12.9,4.14,12.9,8.27,300,1019.4,9.7,11.8,999,99,99
2013,1,10,9,50,327 1,0.7,14,3.73,13.79,7.79,296,1019.6,8.9,11.8,999,99,99
2013,1,10,10,50,306,7.7,11.3,99,99,99,999,1019.8,9,11.8,999,99,99
2013,1,10,11,50,307 1,0.4,13.6,3.7,10,7.68,299,1019.4,9.5,11.8,999,99,99
2013,1,10,12,50,333,9.9,12.1,3.53,12.12,7.69,309,1019.2,8.6,11.7,999,99,99
2013,1,10,13,50,322 1,1.6,14.2,3.73,10.81,7.75,297,1019.6,8.4,11.7,999,99,99
2013,1,10,14,50,308,9.1,11.2,3.76,12.9,7.71,304,1019.7,8.3,11.8,999,99,99
2013,1,10,15,50,313,9.9,12,3.71,12.12,7.82,291,1020.1,8.7,11.7,999,99,99
2013,1,10,16,50,320 1,0.6,12.9,3.9,10.81,8.02,296,1020.6,8.9,11.7,999,99,99
2013,1,10,17,50,315 1,1,13.1,3.4,11.43,7.56,300,1020.9,9.2,11.7,999,99,99
2013,1,10,18,50,312 1,1.9,14,3.5,10.81,7.49,303,1020.6,9.2,11.8,999,99,99
2013,1,10,19,50,314 1,2.4,15.6,3.69,12.9,7.56,312,1020.2,9.2,11.8,999,99,99
2013,1,10,20,50,309 1,1.9,14.8,3.81,11.43,7.56,302,1019.8,9.2,11.8,999,99,99
2013,1,10,21,50,314 1,2.6,15.4,3.92,12.9,7.45,303,1019.8,9.3,11.8,999,99,99
2013,1,10,22,50,312 1,2.4,14.7,4.15,10,7.7,305,1020,9.5,11.8,999,99,99
2013,1,10,23,50,312 1,3.6,16,3.91,12.12,7.29,306,1020.2,9.4,11.8,999,99,99
2013,1,11,0,50,309 1,3,15.8,4.17,12.9,7.62,307,1020.8,9.4,11.8,999,99,99
2013,1,11,1,50,310 1,5.3,19,4.22,10,7.44,295,1020.8,9.6,11.8,999,99,99
2013,1,11,2,50,313 1,4.8,18.2,4.51,11.43,7.74,303,1021.2,9.7,11.8,999,99,99
2013,1,11,3,50,315 1,4.8,18.3,4.81,12.9,7.79,315,1021.5,9.7,11.8,999,99,99
2013,1,11,4,50,316 1,3.8,17.2,5.12,12.12,8.25,304,1022.3,9.7,11.9,999,99,99
2013,1,11,5,50,318 1,3,15.9,4.93,13.79,8.26,306,1022.7,9.9,11.9,999,99,99
2013,1,11,6,50,316 1,3.9,16.7,4.78,11.43,8.18,302,1022.8,9.7,11.9,999,99,99
2013,1,11,7,50,315 1,4.4,17,4.76,12.12,8.14,305,1023,9.6,11.8,999,99,99
2013,1,11,8,50,318 1,3.5,16.2,5.41,12.9,8.62,313,1022.9,9.5,11.8,999,99,99
2013,1,11,9,50,317 1,5,18.4,4.94,12.9,8.41,314,1022.8,9.6,11.8,999,99,99
2013,1,11,10,50,310 1,2.4,15.5,4.93,10.81,8.33,305,1023.3,9.3,11.8,999,99,99
2013,1,11,11,50,324 1,2.4,15.3,4.85,12.9,8.3,309,1023.4,9.6,11.8,999,99,99
2013,1,11,12,50,324 1,2.4,14.6,5.01,12.9,8.56,313,1023.2,9.5,11.8,999,99,99
2013,1,11,13,50,322 1,2.1,14.7,4.57,10.81,8.26,305,1023.6,9.5,11.7,999,99,99
2013,1,11,14,50,322 1,0.4,13.4,5.26,12.9,8.76,315,1024,9.6,11.7,999,99,99
